price,id,name,room_type,accommodates,zipcode,bedrooms,beds,latitude,longitude,cleaning_fee,bathrooms,review_scores_rating,neighbourhood_cleansed,number_of_reviews,security_deposit,host_listings_count,neighbourhood
239.0,27846659,Pristine 3 bed Fast Access to Manhattan w/ Laundry,Entire home/apt,8,11105,3.0,5.0,40.778286578160696,-73.90789070375999,120.0,1.0,95.0,Ditmars Steinway,4,0.0,1.0,Ditmars Steinway
40.0,27847478,NYC 紐約市,Private room,2,11209,2.0,2.0,40.62919187661672,-74.02468866073977,20.0,1.0,93.0,Bay Ridge,3,0.0,1.0,Bay Ridge
349.0,27849339,~Flatiron 2 Bedroom~Amazing Location~Sleeps 6~,Entire home/apt,6,10016,2.0,3.0,40.74445649774891,-73.98325963749664,150.0,1.0,97.0,Midtown,7,100.0,1.0,Midtown
69.0,27850382,Private Studio with Balcony,Private room,5,11220,0.0,1.0,40.63334450728035,-74.0178385651,65.0,1.0,100.0,Bay Ridge,5,0.0,2.0,Bay Ridge
160.0,27851821,Williamsburg Apartment. Best location!!!,Entire home/apt,2,11211,1.0,1.0,40.713718582987156,-73.95725757103041,60.0,1.0,94.0,Williamsburg,7,0.0,2.0,Williamsburg
80.0,27852017,Your Private Safe-Clean Haven w/Private Bath,Private room,4,10461,1.0,2.0,40.84633005358495,-73.83029240198374,20.0,1.0,97.0,Pelham Bay,7,0.0,2.0,Pelham Bay
115.0,27852611,Shabby Chic Luxury Steps From The High Line,Private room,2,10011,1.0,1.0,40.74372778706786,-73.99976431973333,100.0,1.0,100.0,Chelsea,2,250.0,2.0,Chelsea
80.0,27852878,Lush mid-century haven in Greenpoint,Private room,2,11222,1.0,1.0,40.733466004819945,-73.95164112759682,50.0,1.0,100.0,Greenpoint,1,0.0,1.0,Greenpoint
140.0,27853108,NYC-2 BED.APT.-STEPS TO METRO-15 MIN TO MANHATTAN!,Entire home/apt,6,11105,2.0,2.0,40.77488866355055,-73.90763698282605,60.0,1.0,100.0,Ditmars Steinway,1,300.0,3.0,Ditmars Steinway
265.0,27854933,Luxurious beautiful 40th Fl Studio in Midtown West,Entire home/apt,4,10036,0.0,1.0,40.761923177625405,-73.99821476883969,95.0,1.0,100.0,Hell's Kitchen,5,500.0,1.0,Hell's Kitchen
75.0,27855340,"Gorgeous Double Room in Williamsburg, Brooklyn",Private room,2,11211,1.0,2.0,40.717239326722414,-73.95682118632969,19.0,1.0,93.0,Williamsburg,3,0.0,1.0,Williamsburg
400.0,27857198,Trendy Downtown - Cozy backyard,Entire home/apt,8,10002,3.0,4.0,40.71775220953967,-73.98547605500595,150.0,2.0,90.0,Lower East Side,2,500.0,2.0,Lower East Side
150.0,27858785,Spacious Lower East Side Room,Private room,2,10002,1.0,1.0,40.72093120178549,-73.98595620639651,30.0,1.0,100.0,Lower East Side,4,0.0,1.0,Lower East Side
265.0,27867021,"Beautiful One Bedroom  Apt, Top floor Water View!",Entire home/apt,3,10280,1.0,2.0,40.70971909280972,-74.01603043844756,75.0,1.0,80.0,Battery Park City,1,500.0,1.0,Battery Park City
160.0,27869100,Spacious Room in Midtown East Apartment,Private room,2,10022,1.0,1.0,40.76043149790807,-73.97075319558336,50.0,1.0,100.0,Midtown,1,250.0,3.0,Midtown
60.0,27869757,Bright and Cozy Room in Williamsburg,Private room,2,11249,1.0,2.0,40.70729930541146,-73.96607441781563,25.0,1.0,93.0,Williamsburg,12,0.0,5.0,Williamsburg
75.0,27870860,Delightful Private Room 15 min to Manhattan,Private room,4,11206,1.0,3.0,40.69453898589925,-73.94685460230092,30.0,1.5,100.0,Bedford-Stuyvesant,1,0.0,2.0,Bedford-Stuyvesant
100.0,27870884,Brooklyn Refinery with Private Bathroom,Entire home/apt,5,11206,1.0,3.0,40.69236877817296,-73.94712072074087,30.0,1.0,75.0,Bedford-Stuyvesant,4,0.0,2.0,Bedford-Stuyvesant
100.0,27874671,room in a soho loft,Private room,1,10013,1.0,1.0,40.72098943003954,-73.9992082052262,50.0,1.0,100.0,SoHo,1,100.0,3.0,SoHo
150.0,27875757,Sun-Drenched  Perch in Charming Brownstone,Entire home/apt,3,11231,0.0,2.0,40.681123730449244,-73.99296458377975,60.0,1.0,100.0,Carroll Gardens,4,0.0,1.0,Carroll Gardens
150.0,27875951,Elegant 2 Bedroom in Brooklyn -Close To manhattan,Entire home/apt,4,11220,2.0,2.0,40.64534874028588,-74.01414237882905,35.0,1.0,63.0,Sunset Park,6,0.0,1.0,Sunset Park
40.0,27876063,Charming Private Room in Apt Share- Astoria NY,Private room,1,11106,1.0,1.0,40.763047608753695,-73.91874490017067,50.0,1.0,100.0,Astoria,1,100.0,2.0,Astoria
70.0,27876238,"Massive, Private 1 Bedroom near Barclays Center",Private room,2,11217,1.0,1.0,40.678299140786436,-73.9755858004335,20.0,1.0,95.0,Park Slope,4,0.0,1.0,Park Slope
59.0,27876546,Modern Guest Room in East Williamsburg,Private room,2,11237,1.0,1.0,40.707772787598905,-73.92114834239278,15.0,1.0,100.0,Bushwick,6,0.0,2.0,Bushwick
95.0,27876980,"Private, big, clean cozy room, in TIMES SQUARE",Private room,2,10036,1.0,1.0,40.757099640479204,-73.98013637270307,0.0,1.0,100.0,Midtown,3,0.0,1.0,Midtown
90.0,27877906,Cozy room in East Village,Private room,2,10009,1.0,1.0,40.7273877770553,-73.97910903982327,20.0,1.0,80.0,East Village,1,0.0,1.0,East Village
77.0,27878456,Five stars room in very comfy aptm. chek this out,Private room,2,11373,1.0,1.0,40.733660220760186,-73.87650569457897,40.0,1.0,100.0,Elmhurst,3,500.0,12.0,Elmhurst
245.0,27880692,High-end Luxury Studio in Midtown,Entire home/apt,2,10036,0.0,1.0,40.76111373125968,-73.99344832413686,119.0,1.0,100.0,Hell's Kitchen,10,300.0,3.0,Hell's Kitchen
200.0,27883184,Cozy family loft in Williamsburg,Entire home/apt,7,11249,2.0,4.0,40.70750745819047,-73.96755614530501,50.0,1.0,100.0,Williamsburg,1,100.0,5.0,Williamsburg
